Date,PH,Temperature,Dissolved Oxygen,Transparency
2023-01-03,8.3,12,10.1,0.71
2023-01-10,8.4,12.1,11.3,0.5
2023-01-17,8.5,12.7,10.2,0.6
2023-01-23,8.5,11.7,11.7,0.69
2023-01-30,8.3,11.6,10.6,0.58
2023-02-06,8.4,12.5,10.5,0.75
2023-02-13,8.2,12.8,10.3,0.6
2023-02-21,8,13.7,11.7,0.8
2023-02-27,8.1,13,10.5,0.7
2023-03-06,8.2,13.8,11.4,0.9
2023-03-13,8.1,14.3,9.2,0.5
2023-03-20,8.3,12.4,10.3,0.15
2023-03-27,7.5,12.8,10.1,0.15
2023-04-03,7.8,13.8,9.6,0.4
2023-04-10,7.9,14.7,10.2,0.51
2023-04-17,8.4,15.4,9,0.6
2023-04-24,8.7,21.2,11.6,0.9
2023-05-01,8.7,22,9.6,0.95
2023-05-09,8.6,21.7,11.1,0.76
2023-05-15,8.1,24.3,10.5,1.2
2023-05-24,8,25.8,8.5,0.7
2023-05-30,7.6,25.4,5.6,1.13
2023-06-05,8,25.2,5,1.55
2023-06-12,7.9,25.3,5.9,0.9
2023-06-19,8.2,26.4,8.6,0.9
2023-06-26,8.2,27.1,10.4,1.3
2023-07-03,8,28.4,8.2,1.2
2023-07-10,7.9,30,7.9,0.76
2023-07-17,8.1,30.1,4,1.12
2023-07-24,8.2,31.4,6.7,0.9
2023-07-31,8.2,31.4,6.3,0.66
2023-08-07,8.1,30.6,5.7,1.07
2023-08-14,8.2,30.4,6,0.86
2023-08-21,8.1,28.6,5.4,0.69
2023-08-28,8.3,30.1,6,0.85
2023-09-05,8.1,29.2,7,0.71
2023-09-11,8.2,29.3,7,0.85
2023-09-18,8.2,27.8,5.7,0.85
2023-09-25,8.4,26,8.2,0.8
2023-10-03,8.2,24.6,7.3,0.76
2023-10-09,8.4,25.1,8.6,0.7
2023-10-16,8.4,23.9,7.8,0.7
2023-10-23,8.7,23.8,9,0.7
2023-10-30,8.8,22.6,8.5,0.56
2023-11-06,8.8,19.2,9.4,0.7
2023-11-13,8.7,18.6,8.6,0.64
2023-11-20,8.4,18.5,8.2,0.7
2023-11-27,8.6,16.3,8.3,0.6
2023-12-04,8.5,15.1,11.1,0.6
2023-12-11,8.8,14,9.9,0.55
2023-12-18,8.6,13.6,10,0.6
2023-12-27,8.5,13.4,11.2,0.6